name,price
Beng Beng Chocolate Crisp Wafer - Netto 20 bks x 22 gr,2780000000
Cadbury Coklat Lickables Cup 20g Untuk Camilan & Mainan Anak,1390000000
Cadbury Dairy Milk Chocolate Fruit & Nut Regular 30g Untuk Camilan,770000000
Cadbury Dairy Milk Hazelnut 62g,1700000000
Chacha Disney Collection 35 g,970000000
Chocolate Monggo 80g Collection | 20 Variants | Cokelat Murni 100% Cocoa Butter | Dark Coklat Hitam,4900000000
Chocolatos Dark 20 x 16 gr (1 Box),1820000000
Chocolatos Dark Mini Kemasan 2 x 30 gr,350000000
Chocolatos Dark Mini Kemasan 24g x2,350000000
Choki Choki Chococashew - Netto 20 pcs x 11 gr,1750000000
Coco Fruit and Nut Bar 50 gr,850000000
Coklat Krikil Original,2100000000
Delfi Bar bar 18 gr,240000000
Delfi Chic Choc Biskuit Cokelat 2 x 50 gr,1710000000
Delfi Cokelat Cashew 50 gr,1210000000
Delfi Hot Cocoa Indulgence 5 x 25 gr,1780000000
Delfi Maltitos Cokelat 40 gr,690000000
Delfi Orion Chocopie Cacao Choco Pie Dark 180 gr,1830000000
Delfi Twister Black Vanilla 80gr,690000000
Delfi Twister Mini Black Vanilla 2 x 80 gr,1370000000
Frisian Flag Kompleta Coklat 800 gr x 3,20570000000
Gery Meiseis 7 gr Twinpack0,900000000
Gery Meiseis 7 gr x10,430000000
Hagelslag Ceres Festive 90 gr,1060000000
Hello Panda Biskuit Choco 45 gr,850000000
Hello Panda Choco 2 x 45 gr,1620000000
Kinder Bueno Chocolate 43 gr,1240000000
Kinder Joy (Girls) Camilan Cokelat 2 x 20 gr,2350000000
Kinder Joy Cokelat Compound Krispi 20 gr,1240000000
Kit Kat Chocolate Green Tea 4 Fingers 35 gr,1160000000
Kit Kat Green Tea 4 Fingers 35g,1140000000
Kit Kat Green Tea 4 Fingers 35g - 6 pcs,6320000000
L'AGIE Animal Series Milk Chocolate - Netto 25 gr,260000000
Loacker Quadratini Wafer Cokelat Dark Chocolate 125 gr,3350000000
MILO Coklat Nuggets 25g x 2pcs,2090000000
Mayasi Crispy Crepes Wafer Roll Cokelat 90 gr,760000000
Meiji Yan Yan Topping Chocolate 30 gr,550000000
Milkuat Susu UHT Cokelat 50 mL,110000000
Milo Cokelat Nuggets 2 x 25 gr,2090000000
Milo Energy Cube SATUAN,65000000
NESTLE KITKAT Coklat Wafer 2F Original 17g x 6 pcs,2720000000
NESTLE KITKAT Coklat Wafer 2F Original 17g x 6pcs,2680000000
NanoNano Milky Permen Susu Cokelat 12 gr,240000000
Nestle Nestum Sereal Susu + Cokelat 1 x 128 gr,1340000000
Oreo Dutch Cocoa Wafer Choco Vanilla 140.4 gr,740000000
Pasha Dark Chocolate Compound Pack 250 gr,2240000000
Ritz Meses Cokelat 300 gr,4400000000
Silver Queen Rockr 22 gr,400000000
Silverqueen Very Berry 62 g,2250000000
Silverqueen Very Berry 62 g x 2 pcs,4000000000
Soyjoy Strawberry 30 gr Soyjoy Almond & Chocolate 30 gr,1940000000
Tim Tam Choco Biskuit Chocolate 81 gr,790000000
Toblerone Coklat Milk Box 100g Coklat Swiss Premium,3360000000
Tulip Dark Compound Cokelat 250 gr,2130000000
Twister Chocolate 80 g  x 4 pcs,2670000000
WoCA Assorted Chocolate Bar WoCA 6x90 gram,11999900000
WoCA Coklat Kopi Luwak Chocolate Bar Premium Dark or Milk,1599900000
WoCA Coklat Original Premium Chocolate 90 gram,2199900000
WoCA Coklat Peppermint Premium Chocolate 90 gram,2199900000
WoCA Krunz Chocolate Dark 8 individual packs - Pouch,2499900000
